fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1563,person,0.84,127,451,278,506,417,N/A,0.0,0,0,0,0,N/A
1563,car,0.77,198,1109,308,1204,367,N/A,0.0,0,0,0,0,N/A
1564,person,0.78,125,814,280,846,383,N/A,0.0,0,0,0,0,N/A
1564,car,0.74,179,1227,294,1487,499,matricula,0.16,1356,434,1432,457,026557
1564,person,0.74,182,767,288,803,381,N/A,0.0,0,0,0,0,N/A
1564,person,0.67,127,449,278,505,418,N/A,0.0,0,0,0,0,N/A
1564,car,0.74,198,1111,308,1205,367,N/A,0.0,0,0,0,0,N/A
1565,person,0.82,125,814,280,846,385,N/A,0.0,0,0,0,0,N/A
1565,car,0.75,179,1230,294,1501,507,matricula,0.55,1374,441,1443,459,0557
1565,person,0.73,182,767,289,803,380,N/A,0.0,0,0,0,0,N/A
1565,person,0.69,127,447,277,504,420,N/A,0.0,0,0,0,0,N/A
1565,car,0.74,198,1111,308,1205,368,N/A,0.0,0,0,0,0,N/A
1565,car,0.45,208,1207,315,1261,360,N/A,0.0,0,0,0,0,N/A
1566,person,0.82,125,814,280,847,386,N/A,0.0,0,0,0,0,N/A
1566,car,0.77,179,1233,294,1516,514,matricula,0.84,1381,447,1456,466,0265677
1566,person,0.72,182,768,289,803,378,N/A,0.0,0,0,0,0,N/A
1566,person,0.56,127,449,278,502,420,N/A,0.0,0,0,0,0,N/A
1566,car,0.74,198,1114,308,1206,368,N/A,0.0,0,0,0,0,N/A
1566,car,0.43,208,1209,316,1265,360,N/A,0.0,0,0,0,0,N/A
1567,person,0.84,125,815,279,848,385,N/A,0.0,0,0,0,0,N/A
1567,car,0.81,179,1236,294,1529,520,matricula,0.86,1393,449,1466,468,028567
1567,person,0.70,182,768,289,804,378,N/A,0.0,0,0,0,0,N/A
1567,person,0.63,127,445,278,502,422,N/A,0.0,0,0,0,0,N/A
1567,car,0.78,198,1117,309,1207,368,N/A,0.0,0,0,0,0,N/A
1567,car,0.49,208,1212,316,1267,360,N/A,0.0,0,0,0,0,N/A
1568,person,0.86,125,815,278,849,386,N/A,0.0,0,0,0,0,N/A
1568,car,0.84,179,1240,293,1547,526,matricula,0.56,1404,454,1486,474,028547
1568,person,0.70,182,769,289,804,379,N/A,0.0,0,0,0,0,N/A
1568,person,0.66,127,440,276,499,424,N/A,0.0,0,0,0,0,N/A
1568,car,0.76,198,1118,309,1207,369,N/A,0.0,0,0,0,0,N/A
1568,car,0.52,208,1214,317,1268,359,N/A,0.0,0,0,0,0,N/A
1569,person,0.86,125,814,276,849,387,N/A,0.0,0,0,0,0,N/A
1569,car,0.84,179,1244,293,1564,532,matricula,0.59,1421,459,1506,482,082
1569,person,0.69,182,769,289,805,381,N/A,0.0,0,0,0,0,N/A
1569,person,0.78,127,438,274,496,423,N/A,0.0,0,0,0,0,N/A
1569,car,0.76,198,1118,310,1206,368,N/A,0.0,0,0,0,0,N/A
1569,car,0.52,208,1215,316,1271,360,N/A,0.0,0,0,0,0,N/A
1570,person,0.85,125,814,275,849,386,N/A,0.0,0,0,0,0,N/A
1570,car,0.88,179,1248,292,1583,538,matricula,0.74,1448,469,1519,486,0TZ
1570,person,0.65,182,769,289,806,380,N/A,0.0,0,0,0,0,N/A
1570,person,0.77,127,437,272,493,423,N/A,0.0,0,0,0,0,N/A
1570,car,0.77,198,1119,310,1206,369,N/A,0.0,0,0,0,0,N/A
1570,car,0.60,208,1214,315,1275,360,N/A,0.0,0,0,0,0,N/A
1571,person,0.85,125,814,277,850,387,N/A,0.0,0,0,0,0,N/A
1571,car,0.88,179,1253,291,1603,543,matricula,0.12,1448,468,1540,487,02656
1571,person,0.66,182,770,289,806,378,N/A,0.0,0,0,0,0,N/A
1571,person,0.72,127,436,272,490,424,N/A,0.0,0,0,0,0,N/A
1571,car,0.78,198,1120,308,1208,369,N/A,0.0,0,0,0,0,N/A
1571,car,0.64,208,1215,312,1278,360,N/A,0.0,0,0,0,0,N/A
1572,person,0.83,125,815,277,850,386,N/A,0.0,0,0,0,0,N/A
