fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
99,persona,0.61838245,2,399,243,422,306,0,,,,,,
100,persona,0.26030043,1,267,229,299,321,0,,,,,,
100,persona,0.14564462,6,269,229,322,323,0,,,,,,
100,persona,0.187215,7,383,242,421,307,0,,,,,,
100,persona,0.52421427,9,378,241,398,304,0,,,,,,
100,persona,0.547378,2,399,244,422,306,0,,,,,,
101,persona,0.24978234,1,267,229,298,321,0,,,,,,
101,persona,0.15891749,6,269,229,321,323,0,,,,,,
101,persona,0.2323171,7,382,242,420,307,0,,,,,,
101,persona,0.57083094,9,378,241,399,304,0,,,,,,
101,persona,0.5954619,2,400,245,422,306,0,,,,,,
102,persona,0.2587889,1,267,229,297,321,0,,,,,,
102,persona,0.15997073,6,269,229,319,323,0,,,,,,
102,persona,0.16645002,7,381,242,419,307,0,,,,,,
102,persona,0.57140803,9,378,242,399,305,0,,,,,,
102,persona,0.5275994,2,400,246,421,306,0,,,,,,
103,persona,0.2672207,1,267,228,297,321,0,,,,,,
103,persona,0.169358,6,268,228,315,323,0,,,,,,
103,persona,0.17081676,7,380,242,416,307,0,,,,,,
103,persona,0.5972038,9,378,242,399,305,0,,,,,,
103,persona,0.6134115,2,400,246,420,306,0,,,,,,
104,persona,0.2516255,1,267,228,297,321,0,,,,,,
104,persona,0.18509783,6,268,228,315,323,0,,,,,,
104,persona,0.26305574,7,380,242,414,306,0,,,,,,
104,persona,0.5859928,9,378,242,400,305,0,,,,,,
104,persona,0.59293884,2,400,245,421,305,0,,,,,,
105,persona,0.26593226,1,267,228,296,321,0,,,,,,
105,persona,0.1834171,6,268,228,313,323,0,,,,,,
105,persona,0.22143163,7,380,242,412,306,0,,,,,,
105,persona,0.5846286,9,378,242,400,305,0,,,,,,
105,persona,0.5672253,2,401,244,422,305,0,,,,,,
106,persona,0.26965716,1,267,229,296,321,0,,,,,,
106,persona,0.19850403,6,268,228,313,323,0,,,,,,
106,persona,0.18417986,7,380,242,413,307,0,,,,,,
106,persona,0.54289055,9,378,242,400,306,0,,,,,,
106,persona,0.5112141,2,401,243,422,305,0,,,,,,
107,persona,0.26693934,1,267,229,296,321,0,,,,,,
107,persona,0.21725956,6,268,228,315,323,0,,,,,,
107,persona,0.13695027,7,380,242,413,307,0,,,,,,
107,persona,0.5616595,9,378,242,400,306,0,,,,,,
107,persona,0.52768457,2,402,244,422,306,0,,,,,,
108,persona,0.26068965,1,268,228,298,320,0,,,,,,
108,persona,0.13466537,7,379,242,410,307,0,,,,,,
108,persona,0.6153987,9,378,242,400,306,0,,,,,,
108,persona,0.5823451,2,402,245,421,306,0,,,,,,
109,persona,0.25468627,1,267,228,297,321,0,,,,,,
109,persona,0.62144595,9,378,242,400,306,0,,,,,,
109,persona,0.53090286,2,403,246,422,306,0,,,,,,
110,persona,0.23087408,1,267,228,300,321,0,,,,,,
110,persona,0.6625519,9,377,242,400,306,0,,,,,,
110,persona,0.5657224,2,403,246,422,306,0,,,,,,
111,persona,0.24451633,1,267,229,299,321,0,,,,,,
111,persona,0.6811641,9,378,241,401,306,0,,,,,,
111,persona,0.546904,2,403,246,423,307,0,,,,,,
112,persona,0.24102949,1,267,229,299,321,0,,,,,,
112,persona,0.67646146,9,378,241,401,307,0,,,,,,
112,persona,0.5203973,2,403,246,424,307,0,,,,,,
113,persona,0.25074768,1,267,229,299,321,0,,,,,,
113,persona,0.7066059,9,378,241,401,307,0,,,,,,
113,persona,0.5365114,2,403,245,425,309,0,,,,,,
114,persona,0.26506937,1,267,229,298,321,0,,,,,,
114,persona,0.7289188,9,378,242,401,307,0,,,,,,
114,persona,0.5431643,2,403,244,426,311,0,,,,,,
115,persona,0.28145018,1,267,229,298,321,0,,,,,,
115,persona,0.7440204,9,378,241,401,308,0,,,,,,
115,persona,0.5501085,2,403,242,427,311,0,,,,,,
116,persona,0.26273042,1,267,229,298,321,0,,,,,,
116,persona,0.73572093,9,378,241,401,307,0,,,,,,
116,persona,0.57514626,2,403,242,428,313,0,,,,,,
117,persona,0.23563948,1,267,229,300,321,0,,,,,,
117,persona,0.68424565,9,377,242,401,307,0,,,,,,
117,persona,0.5525569,2,403,244,428,314,0,,,,,,
118,persona,0.23330349,1,267,229,299,321,0,,,,,,
118,persona,0.64647806,9,378,241,401,307,0,,,,,,
118,persona,0.5217471,2,404,246,427,311,0,,,,,,
119,persona,0.27302012,1,267,229,298,321,0,,,,,,
119,persona,0.6695727,9,378,241,402,307,0,,,,,,
119,persona,0.5154815,2,404,246,427,314,0,,,,,,
120,persona,0.26471084,1,267,229,298,321,0,,,,,,
120,persona,0.65032643,9,378,240,402,307,0,,,,,,
120,persona,0.4807331,2,405,246,427,315,0,,,,,,
121,persona,0.22529265,1,267,230,302,321,0,,,,,,
121,persona,0.6464713,9,378,239,403,308,0,,,,,,
121,persona,0.41703942,2,405,246,426,310,0,,,,,,
